rxn_id,rxn_name,rxn_type,root_cause,detail,has_gpr,lb,ub,compartments,n_orphan_mets,n_deadend_mets,orphan_mets,deadend_mets,reaction_str
R1115,ethanolamine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1047[C_ex] --> 
R1126,FMN exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m213[C_ex],,m213[C_ex] --> 
R1127,folic acid exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1050[C_ex] --> 
R1134,gamma-aminobutyrate exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1021[C_ex],,m1021[C_ex] --> 
R1139,glutathione disulfide exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1237[C_ex],,m1237[C_ex] --> 
R1140,glutathione exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1052[C_ex],,m1052[C_ex] --> 
R1147,glycolaldehyde exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1242[C_ex] --> 
R1153,guanosine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1247[C_ex],,m1247[C_ex] --> 
R1166,hexadecanal exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1252[C_ex],,m1252[C_ex] --> 
R1176,inosine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1261[C_ex],,m1261[C_ex] --> 
R1189,iron(2+) exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1273[C_ex],,m1273[C_ex] --> 
R1190,isoamyl acetate exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1062[C_ex] --> 
R1193,isoamylol exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1277[C_ex] --> 
R1198,L-arabinitol exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1281[C_ex] --> 
R1201,L-arabinose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1283[C_ex] --> 
R1209,L-glucitol exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1289[C_ex] --> 
R1216,L-homoserine transport,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1294[C_ex],,m1294[C_ex] --> 
R1229,L-sorbose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1303[C_ex] --> 
R1249,maltose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1322[C_ex],,m1322[C_ex] --> 
R1263,myo-inositol exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1060[C_ex],,m1060[C_ex] --> 
R1269,NMN exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1337[C_ex],,m1337[C_ex] --> 
R1294,pectin exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1351[C_ex],,m1351[C_ex] --> 
R1298,potassium exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,-1000.0,1000.0,C_ex,0,0,,,m1099[C_ex] <=> 
R1305,pyridoxine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,-1000.0,1000.0,C_ex,0,0,,,m1357[C_ex] <=> 
R1314,riboflavin exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m216[C_ex] --> 
R1319,S-adenosyl-L-methionine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1104[C_ex],,m1104[C_ex] --> 
R1320,S-methyl-L-methionine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1105[C_ex],,m1105[C_ex] --> 
R1323,sodium exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,-1000.0,1000.0,C_ex,0,0,,,m1108[C_ex] <=> 
R1332,sucrose exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m962[C_ex],,m962[C_ex] --> 
R1335,taurine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,0,0,,,m1115[C_ex] --> 
R1339,thiamine(1+) diphosphate(1-) exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m971[C_ex],,m971[C_ex] --> 
R1340,thiamine(1+) exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,-1000.0,1000.0,C_ex,0,0,,,m972[C_ex] <=> 
R1341,thiamine(1+) monophosphate exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m973[C_ex],,m973[C_ex] --> 
R1346,thymidine exchange,exchange,exchange_closed,"boundary, metabolite unreachable",False,0.0,1000.0,C_ex,1,0,m1378[C_ex],,m1378[C_ex] --> 
