reaction_id,reaction_name,type,n_metabolites,compartments,gene_reaction_rule,metabolite_mnxm_ids,metabolite_bigg_ids
R2107,UDP-N-acetyl-alpha-D-glucosamine transport,transport,2,"C_cy,C_er",,"MNXM736712,MNXM736712","—,—"
R2110,UMP transport,transport,3,"C_cy,C_er",,"MNXM1104823,MNXM1104823,MNXM1","ump,ump,h"
R2118,2-Methylpropanoyl-CoA transport,transport,3,"C_cy,C_mi",,"MNXM1104531,MNXM1104531,MNXM1","ibcoa,ibcoa,h"
R2125,Sphinganine transport,transport,3,"C_cy,C_er",,"MNXM733692,MNXM1,MNXM733692","sphgn,h,sphgn"
R2126,Ceramide-1 (Sphinganine:n-C26:0) transport,transport,2,"C_cy,C_er",,"MNXM1513336,MNXM2987","—,cer1_26"
R2128,Ceramide-1 (Sphinganine:n-C24:0) transport,transport,2,"C_cy,C_er",,"MNXM1513336,MNXM2986","—,cer1_24"
R2130,Phytosphingosine transport,transport,2,"C_cy,C_er",,"MNXM1104920,MNXM1104920","psphings,psphings"
R2135,AC-CoA transport,transport,2,"C_cy,C_er",,"MNXM1104266,MNXM1136895","accoa,—"
R2139,UDP-glucose transport,transport,2,"C_cy,C_er",,"—,MNXM739642","—,—"
R2144,phosphatidate transport,transport,2,"C_cy,C_em",,"MNXM1093594,MNXM1093594","pa_LM,pa_LM"
R2147,mannosylinositol phosphorylceramide A (C24)_C54H106NO16P transport,transport,2,"C_cy,C_er",,"MNXM158006,MNXM158006","—,—"
R2150,mannosylinositol phosphorylceramide A (C26)_C56H110NO16P transport,transport,2,"C_cy,C_er",,"MNXM106432,MNXM106432","—,—"
R2153,mannosylinositol phosphorylceramide B (C24)_C54H106NO17P transport,transport,2,"C_cy,C_er",,"MNXM157996,MNXM157996","—,—"
R2156,mannosylinositol phosphorylceramide B (C26)_C56H110NO17P transport,transport,2,"C_cy,C_er",,"MNXM157997,MNXM157997","—,—"
R2158,Ceramide-3 (Phytosphingosine:n-C24:0OH) trasnport,transport,2,"C_cy,C_er",,"—,MNXM5080","—,cer3_24"
R2160,mannosylinositol phosphorylceramide C (C24)_C54H106NO18P transport,transport,2,"C_cy,C_er",,"MNXM61065,MNXM61065","—,—"
R2163,mannosylinositol phosphorylceramide C (C26)_C56H110NO18P transport,transport,2,"C_cy,C_er",,"MNXM61055,MNXM61055","—,—"
R2164,Ceramide-3 (Phytosphingosine:n-C26:0OH)transport,transport,2,"C_cy,C_er",,"—,MNXM5081","—,cer3_26"
R2165,Triacyglycerol synthesis,has_GPR,11,C_cy,YALI1D10264g,"MNXM1093693,MNXM1094143,MNXM734853,MNXM1093407,MNXM1511591,MNXM1104352,MNXM1091588,MNXM56353,MNXM1092836,MNXM1094981,MNXM1564104","palmcoa,srcoa,—,myrstcoa,—,ocdccoa,12dgr_TB,—,dcacoa,—,—"
R2167,Decanoyl-CoA transport,transport,3,"C_cy,C_mm",,"MNXM1092836,MNXM1,MNXM1092836","dcacoa,h,dcacoa"
R2169,"1,2-Diacyl-sn-glycerol transport",transport,2,"C_cy,C_er",,"MNXM1091588,MNXM1091588","12dgr_TB,12dgr_TB"
R2178,NO NAME,no_GPR,5,C_cy,,"MNXM735438,MNXM148196,WATER,MNXM13,MNXM726930","o2,dedoldp,h2o,co2,—"
